Battalion,Station Area,year,month,value,Division
Battalion 01,Station Area 01,2015,8,409,Division 02
Battalion 01,Station Area 01,2015,9,464,Division 02
Battalion 01,Station Area 01,2015,10,376,Division 02
Battalion 01,Station Area 01,2015,11,450,Division 02
Battalion 01,Station Area 01,2015,12,489,Division 02
Battalion 01,Station Area 01,2016,1,349,Division 02
Battalion 01,Station Area 01,2016,2,381,Division 02
Battalion 01,Station Area 01,2016,3,375,Division 02
Battalion 01,Station Area 01,2016,4,327,Division 02
Battalion 01,Station Area 01,2016,5,298,Division 02
Battalion 01,Station Area 01,2016,6,361,Division 02
Battalion 01,Station Area 01,2016,7,410,Division 02
Battalion 01,Station Area 01,2016,8,394,Division 02
Battalion 01,Station Area 01,2016,9,464,Division 02
Battalion 01,Station Area 01,2016,10,358,Division 02
Battalion 01,Station Area 01,2016,11,420,Division 02
Battalion 01,Station Area 01,2016,12,423,Division 02
Battalion 01,Station Area 01,2017,1,413,Division 02
Battalion 01,Station Area 01,2017,2,293,Division 02
Battalion 01,Station Area 01,2017,3,310,Division 02
Battalion 01,Station Area 01,2017,4,408,Division 02
Battalion 01,Station Area 01,2017,5,163,Division 02
Battalion 01,Station Area 01,2017,6,124,Division 02
Battalion 01,Station Area 01,2017,7,103,Division 02
Battalion 01,Station Area 01,2017,8,95,Division 02
Battalion 01,Station Area 01,2017,9,131,Division 02
Battalion 01,Station Area 01,2017,10,92,Division 02
Battalion 01,Station Area 01,2017,11,89,Division 02
Battalion 01,Station Area 01,2017,12,111,Division 02
Battalion 01,Station Area 01,2018,1,120,Division 02
Battalion 01,Station Area 01,2018,2,126,Division 02
Battalion 01,Station Area 01,2018,3,100,Division 02
Battalion 01,Station Area 01,2018,4,103,Division 02
Battalion 01,Station Area 01,2018,5,111,Division 02
Battalion 01,Station Area 01,2018,6,127,Division 02
Battalion 01,Station Area 01,2018,7,124,Division 02
Battalion 01,Station Area 01,2018,8,125,Division 02
Battalion 01,Station Area 01,2018,9,111,Division 02
Battalion 01,Station Area 01,2018,10,106,Division 02
Battalion 01,Station Area 01,2018,11,85,Division 02
Battalion 01,Station Area 01,2018,12,124,Division 02
Battalion 01,Station Area 01,2019,1,81,Division 02
Battalion 01,Station Area 01,2019,2,109,Division 02
Battalion 01,Station Area 01,2019,3,119,Division 02
Battalion 01,Station Area 01,2019,4,125,Division 02
Battalion 01,Station Area 01,2019,5,87,Division 02
Battalion 01,Station Area 01,2019,6,144,Division 02
Battalion 01,Station Area 01,2019,7,143,Division 02
Battalion 01,Station Area 01,2019,8,147,Division 02
Battalion 01,Station Area 01,2019,9,117,Division 02
Battalion 01,Station Area 01,2019,10,136,Division 02
Battalion 01,Station Area 01,2019,11,116,Division 02
Battalion 01,Station Area 01,2019,12,170,Division 02
Battalion 01,Station Area 01,2020,1,132,Division 02
Battalion 01,Station Area 01,2020,2,142,Division 02
Battalion 01,Station Area 01,2020,3,81,Division 02
Battalion 01,Station Area 01,2020,4,29,Division 02
Battalion 01,Station Area 02,2000,4,161,Division 02
Battalion 01,Station Area 02,2000,5,275,Division 02
Battalion 01,Station Area 02,2000,6,292,Division 02
Battalion 01,Station Area 02,2000,7,341,Division 02
Battalion 01,Station Area 02,2000,8,241,Division 02
Battalion 01,Station Area 02,2000,9,274,Division 02
Battalion 01,Station Area 02,2000,10,316,Division 02
Battalion 01,Station Area 02,2000,11,316,Division 02
Battalion 01,Station Area 02,2000,12,300,Division 02
Battalion 01,Station Area 02,2001,1,334,Division 02
Battalion 01,Station Area 02,2001,2,299,Division 02
Battalion 01,Station Area 02,2001,3,381,Division 02
Battalion 01,Station Area 02,2001,4,324,Division 02
Battalion 01,Station Area 02,2001,5,319,Division 02
Battalion 01,Station Area 02,2001,6,341,Division 02
Battalion 01,Station Area 02,2001,7,349,Division 02
Battalion 01,Station Area 02,2001,8,311,Division 02
Battalion 01,Station Area 02,2001,9,248,Division 02
Battalion 01,Station Area 02,2001,10,288,Division 02
Battalion 01,Station Area 02,2001,11,287,Division 02
Battalion 01,Station Area 02,2001,12,361,Division 02
Battalion 01,Station Area 02,2002,1,367,Division 02
Battalion 01,Station Area 02,2002,2,344,Division 02
Battalion 01,Station Area 02,2002,3,340,Division 02
Battalion 01,Station Area 02,2002,4,367,Division 02
Battalion 01,Station Area 02,2002,5,313,Division 02
Battalion 01,Station Area 02,2002,6,269,Division 02
Battalion 01,Station Area 02,2002,7,375,Division 02
Battalion 01,Station Area 02,2002,8,288,Division 02
Battalion 01,Station Area 02,2002,9,331,Division 02
Battalion 01,Station Area 02,2002,10,322,Division 02
Battalion 01,Station Area 02,2002,11,289,Division 02
Battalion 01,Station Area 02,2002,12,318,Division 02
Battalion 01,Station Area 02,2003,1,352,Division 02
Battalion 01,Station Area 02,2003,2,339,Division 02
Battalion 01,Station Area 02,2003,3,354,Division 02
Battalion 01,Station Area 02,2003,4,334,Division 02
Battalion 01,Station Area 02,2003,5,361,Division 02
Battalion 01,Station Area 02,2003,6,351,Division 02
Battalion 01,Station Area 02,2003,7,424,Division 02
Battalion 01,Station Area 02,2003,8,422,Division 02
Battalion 01,Station Area 02,2003,9,376,Division 02
Battalion 01,Station Area 02,2003,10,402,Division 02
Battalion 01,Station Area 02,2003,11,343,Division 02
Battalion 01,Station Area 02,2003,12,469,Division 02
Battalion 01,Station Area 02,2004,1,459,Division 02
Battalion 01,Station Area 02,2004,2,437,Division 02
Battalion 01,Station Area 02,2004,3,359,Division 02
Battalion 01,Station Area 02,2004,4,418,Division 02
Battalion 01,Station Area 02,2004,5,330,Division 02
Battalion 01,Station Area 02,2004,6,415,Division 02
Battalion 01,Station Area 02,2004,7,306,Division 02
Battalion 01,Station Area 02,2004,8,166,Division 02
Battalion 01,Station Area 02,2004,11,323,Division 02
Battalion 01,Station Area 02,2004,12,508,Division 02
Battalion 01,Station Area 02,2005,1,448,Division 02
Battalion 01,Station Area 02,2005,2,440,Division 02
Battalion 01,Station Area 02,2005,3,461,Division 02
Battalion 01,Station Area 02,2005,4,341,Division 02
Battalion 01,Station Area 02,2005,5,376,Division 02
Battalion 01,Station Area 02,2005,6,361,Division 02
Battalion 01,Station Area 02,2005,7,390,Division 02
Battalion 01,Station Area 02,2005,8,352,Division 02
Battalion 01,Station Area 02,2005,9,373,Division 02
Battalion 01,Station Area 02,2005,10,321,Division 02
Battalion 01,Station Area 02,2005,11,355,Division 02
Battalion 01,Station Area 02,2005,12,461,Division 02
Battalion 01,Station Area 02,2006,1,380,Division 02
Battalion 01,Station Area 02,2006,2,378,Division 02
Battalion 01,Station Area 02,2006,3,435,Division 02
Battalion 01,Station Area 02,2006,4,391,Division 02
Battalion 01,Station Area 02,2006,5,352,Division 02
Battalion 01,Station Area 02,2006,6,408,Division 02
Battalion 01,Station Area 02,2006,7,360,Division 02
Battalion 01,Station Area 02,2006,8,325,Division 02
Battalion 01,Station Area 02,2006,9,349,Division 02
Battalion 01,Station Area 02,2006,10,433,Division 02
Battalion 01,Station Area 02,2006,11,288,Division 02
Battalion 01,Station Area 02,2006,12,377,Division 02
Battalion 01,Station Area 02,2007,1,438,Division 02
Battalion 01,Station Area 02,2007,2,359,Division 02
Battalion 01,Station Area 02,2007,3,288,Division 02
Battalion 01,Station Area 02,2007,4,315,Division 02
Battalion 01,Station Area 02,2007,5,292,Division 02
Battalion 01,Station Area 02,2007,6,280,Division 02
Battalion 01,Station Area 02,2007,7,295,Division 02
Battalion 01,Station Area 02,2007,8,345,Division 02
Battalion 01,Station Area 02,2007,9,315,Division 02
Battalion 01,Station Area 02,2007,10,385,Division 02
Battalion 01,Station Area 02,2007,11,406,Division 02
Battalion 01,Station Area 02,2007,12,378,Division 02
Battalion 01,Station Area 02,2008,1,357,Division 02
Battalion 01,Station Area 02,2008,2,367,Division 02
Battalion 01,Station Area 02,2008,3,385,Division 02
Battalion 01,Station Area 02,2008,4,308,Division 02
Battalion 01,Station Area 02,2008,5,350,Division 02
Battalion 01,Station Area 02,2008,6,350,Division 02
Battalion 01,Station Area 02,2008,7,369,Division 02
Battalion 01,Station Area 02,2008,8,420,Division 02
Battalion 01,Station Area 02,2008,9,356,Division 02
Battalion 01,Station Area 02,2008,10,330,Division 02
Battalion 01,Station Area 02,2008,11,350,Division 02
Battalion 01,Station Area 02,2008,12,432,Division 02
Battalion 01,Station Area 02,2009,1,355,Division 02
Battalion 01,Station Area 02,2009,2,348,Division 02
Battalion 01,Station Area 02,2009,3,350,Division 02
Battalion 01,Station Area 02,2009,4,310,Division 02
Battalion 01,Station Area 02,2009,5,289,Division 02
Battalion 01,Station Area 02,2009,6,316,Division 02
Battalion 01,Station Area 02,2009,7,447,Division 02
Battalion 01,Station Area 02,2009,8,390,Division 02
Battalion 01,Station Area 02,2009,9,309,Division 02
Battalion 01,Station Area 02,2009,10,393,Division 02
Battalion 01,Station Area 02,2009,11,372,Division 02
Battalion 01,Station Area 02,2009,12,377,Division 02
Battalion 01,Station Area 02,2010,1,373,Division 02
Battalion 01,Station Area 02,2010,2,310,Division 02
